#0x1B1B	SINGLE SHIFT THREE (no mapping by itself, see also @missing above)
0x1B1B1A	0xFFFD	#	REPLACEMENT CHARACTER (duplicate of the ASCII 0x1C SUBSTITUTE; should have spacing 'error indication' glyph, NOT invisible)
0x1B1B20	0x202F	#	NARROW NO-BREAK SPACE
0x1B1B2D	0x2010	#	HYPHEN
0x1B1C	0x17E0	#	KHMER DIGIT ZERO
0x1B1D	0x17E1	#	KHMER DIGIT ONE
0x1B1E	0x17E2	#	KHMER DIGIT TWO
0x1B1F	0x17E3	#	KHMER DIGIT THREE
0x1B20	0x17E4	#	KHMER DIGIT FOUR
0x1B21	0x17E5	#	KHMER DIGIT FIVE
0x1B22	0x17E6	#	KHMER DIGIT SIX
0x1B23	0x17E7	#	KHMER DIGIT SEVEN
0x1B24	0x17E8	#	KHMER DIGIT EIGHT
0x1B25	0x17E9	#	KHMER DIGIT NINE
0x1B26	0x17D9	#	KHMER SIGN PHNAEK MUAN  phnek moan (FONGMAN)
0x1B27	0x17DA	#	KHMER SIGN KOOMUUT  koomoot
0x1B28	0x007B	#	LEFT CURLY BRACKET
0x1B29	0x007D	#	RIGHT CURLY BRACKET
0x1B2A	0x17E1 0x2044 0x17E4	#	KHMER ¼
0x1B2B	0x17E1 0x2044 0x17E2	#	KHMER ½
0x1B2C	0x17E3 0x2044 0x17E4	#	KHMER ¾
0x1B2D	0x2A7D	#	LESS-THAN OR SLANTED EQUAL TO
0x1B2E	0x2A7E	#	GREATER-THAN OR SLANTED EQUAL TO
0x1B2F	0x005C	#	REVERSE SOLIDUS
0x1B30	0x17A8	#	KHMER INDEPENDENT VOWEL QUK (ok) * obsolete ligature for the sequence 17A7,1780; use of the sequence is now preferred
0x1B31	0x17AA	#	KHMER INDEPENDENT VOWEL QUUV (yu)
0x1B32	0x17AC	#	KHMER INDEPENDENT VOWEL RYY (vocalic rr)
0x1B33	0x17AE	#	KHMER INDEPENDENT VOWEL LYY (vocalic ll)
0x1B34	0x17B2	#	KHMER INDEPENDENT VOWEL QOO TYPE TWO (äu)
#0x1B35	0x17DE	#	unallocated code point; AI LENGTH MARK (candra e)
0x1B36	0x17BF	#	KHMER VOWEL SIGN YA   17C1+17BA+[17DE] (may consider 17BA+[17DE] as a variant of 17BA when occurring after 17C1)
0x1B37	0x17C0	#	KHMER VOWEL SIGN IE   17C1+[17DE]  with AI LENGTH MARK (candra e)
0x1B38	0x17BE	#	KHMER VOWEL SIGN OE   17C1+17B8
0x1B39	0x17BD	#	KHMER VOWEL SIGN UA
0x1B3A	0x2248	#	ALMOST EQUAL TO
0x1B3B	0x2260	#	NOT EQUAL TO
0x1B3C	0x005B	#	LEFT SQUARE BRACKET
0x1B3D	0x007E	#	TILDE
0x1B3E	0x005D	#	RIGHT SQUARE BRACKET
0x1B3F	0x00B7	#	MIDDLE DOT
0x1B40	0x007C	#	VERTICAL LINE
0x1B41	0x0041	#	LATIN CAPITAL LETTER A
0x1B42	0x0042	#	LATIN CAPITAL LETTER B
0x1B43	0x0043	#	LATIN CAPITAL LETTER C
0x1B44	0x0044	#	LATIN CAPITAL LETTER D
0x1B45	0x0045	#	LATIN CAPITAL LETTER E
0x1B46	0x0046	#	LATIN CAPITAL LETTER F
0x1B47	0x0047	#	LATIN CAPITAL LETTER G
0x1B48	0x0048	#	LATIN CAPITAL LETTER H
0x1B49	0x0049	#	LATIN CAPITAL LETTER I
0x1B4A	0x004A	#	LATIN CAPITAL LETTER J
0x1B4B	0x004B	#	LATIN CAPITAL LETTER K
0x1B4C	0x004C	#	LATIN CAPITAL LETTER L
0x1B4D	0x004D	#	LATIN CAPITAL LETTER M
0x1B4E	0x004E	#	LATIN CAPITAL LETTER N
0x1B4F	0x004F	#	LATIN CAPITAL LETTER O
0x1B50	0x0050	#	LATIN CAPITAL LETTER P
0x1B51	0x0051	#	LATIN CAPITAL LETTER Q
0x1B52	0x0052	#	LATIN CAPITAL LETTER R
0x1B53	0x0053	#	LATIN CAPITAL LETTER S
0x1B54	0x0054	#	LATIN CAPITAL LETTER T
0x1B55	0x0055	#	LATIN CAPITAL LETTER U
