0x1B1B1A	0xFFFD	#	REPLACEMENT CHARACTER (duplicate of the ASCII 0x1C SUBSTITUTE; should have spacing 'error indication' glyph, NOT invisible)
0x1B1B20	0x202F	#	NARROW NO-BREAK SPACE
0x1B1B2D	0x2010	#	HYPHEN
0x1B1C	0x0462	#	CYRILLIC CAPITAL LETTER YAT
0x1B1D	0x0410	#	CYRILLIC CAPITAL LETTER A
0x1B1E	0x0411	#	CYRILLIC CAPITAL LETTER BE
0x1B1F	0x0412	#	CYRILLIC CAPITAL LETTER VE
0x1B20	0x0049	#	LATIN CAPITAL LETTER I
0x1B21	0x004A	#	LATIN CAPITAL LETTER J
0x1B22	0x004B	#	LATIN CAPITAL LETTER K
0x1B23	0x004C	#	LATIN CAPITAL LETTER L
0x1B24	0x004D	#	LATIN CAPITAL LETTER M
0x1B25	0x004E	#	LATIN CAPITAL LETTER N
0x1B26	0x004F	#	LATIN CAPITAL LETTER O
0x1B27	0x0050	#	LATIN CAPITAL LETTER P
0x1B28	0x007B	#	LEFT CURLY BRACKET
0x1B29	0x007D	#	RIGHT CURLY BRACKET
0x1B2D	0x2A7D	#	LESS-THAN OR SLANTED EQUAL TO
0x1B2E	0x2A7E	#	GREATER-THAN OR SLANTED EQUAL TO
0x1B2F	0x005C	#	REVERSE SOLIDUS
0x1B30	0x0051	#	LATIN CAPITAL LETTER Q
0x1B31	0x0052	#	LATIN CAPITAL LETTER R
0x1B32	0x0053	#	LATIN CAPITAL LETTER S
0x1B33	0x0054	#	LATIN CAPITAL LETTER T
0x1B34	0x0055	#	LATIN CAPITAL LETTER U
0x1B35	0x0056	#	LATIN CAPITAL LETTER V
0x1B36	0x0057	#	LATIN CAPITAL LETTER W
0x1B37	0x0058	#	LATIN CAPITAL LETTER X
0x1B38	0x0059	#	LATIN CAPITAL LETTER Y
0x1B39	0x005A	#	LATIN CAPITAL LETTER Z
0x1B3A	0x2248	#	ALMOST EQUAL TO
0x1B3B	0x2260	#	NOT EQUAL TO
0x1B3C	0x005B	#	LEFT SQUARE BRACKET
0x1B3D	0x007E	#	TILDE
0x1B3E	0x005D	#	RIGHT SQUARE BRACKET
0x1B3F	0x00B7	#	MIDDLE DOT
0x1B40	0x0413	#	CYRILLIC CAPITAL LETTER GHE
0x1B41	0x0490	#	CYRILLIC CAPITAL LETTER GHE WITH UPTURN
0x1B42	0x0414	#	CYRILLIC CAPITAL LETTER DE
0x1B43	0x0402	#	CYRILLIC CAPITAL LETTER DJE
0x1B44	0x0415	#	CYRILLIC CAPITAL LETTER IE
0x1B45	0x0404	#	CYRILLIC CAPITAL LETTER UKRAINIAN IE
0x1B46	0x0416	#	CYRILLIC CAPITAL LETTER ZHE
0x1B47	0x0417	#	CYRILLIC CAPITAL LETTER ZE
0x1B48	0x0418	#	CYRILLIC CAPITAL LETTER I
0x1B49	0x0406	#	CYRILLIC CAPITAL LETTER BYELORUSSIAN-UKRAINIAN I
0x1B4A	0x0407	#	CYRILLIC CAPITAL LETTER YI
0x1B4B	0x0419	#	CYRILLIC CAPITAL LETTER SHORT I
0x1B4C	0x0408	#	CYRILLIC CAPITAL LETTER JE
0x1B4D	0x041A	#	CYRILLIC CAPITAL LETTER KA
0x1B4E	0x041B	#	CYRILLIC CAPITAL LETTER EL
0x1B4F	0x0409	#	CYRILLIC CAPITAL LETTER LJE
0x1B50	0x041C	#	CYRILLIC CAPITAL LETTER EM
0x1B51	0x041D	#	CYRILLIC CAPITAL LETTER EN
0x1B52	0x040A	#	CYRILLIC CAPITAL LETTER NJE
0x1B53	0x041E	#	CYRILLIC CAPITAL LETTER O
0x1B54	0x041F	#	CYRILLIC CAPITAL LETTER PE
0x1B55	0x0420	#	CYRILLIC CAPITAL LETTER ER
0x1B56	0x0421	#	CYRILLIC CAPITAL LETTER ES
0x1B57	0x0422	#	CYRILLIC CAPITAL LETTER TE
0x1B58	0x040B	#	CYRILLIC CAPITAL LETTER TSHE
0x1B59	0x0423	#	CYRILLIC CAPITAL LETTER U
0x1B5A	0x0424	#	CYRILLIC CAPITAL LETTER EF
0x1B5B	0x0425	#	CYRILLIC CAPITAL LETTER HA
0x1B5C	0x0426	#	CYRILLIC CAPITAL LETTER TSE
0x1B5D	0x0427	#	CYRILLIC CAPITAL LETTER CHE
0x1B5E	0x040F	#	CYRILLIC CAPITAL LETTER DZHE
0x1B5F	0x0428	#	CYRILLIC CAPITAL LETTER SHA
0x1B60	0x00BC	#	VULGAR FRACTION ONE QUARTER
0x1B61	0x00BD	#	VULGAR FRACTION ONE HALF
0x1B62	0x00BE	#	VULGAR FRACTION THREE QUARTERS
0x1B63	0x201C	#	LEFT DOUBLE QUOTATION MARK
0x1B64	0x201D	#	RIGHT DOUBLE QUOTATION MARK
0x1B65	0x00A4	#	CURRENCY SIGN
0x1B68	0x00B0	#	DEGREE SIGN
0x1B69	0x00D7	#	MULTIPLICATION SIGN
0x1B6A	0x00F7	#	DIVISION SIGN
0x1B6B	0x00B1	#	PLUS-MINUS SIGN
