0x1B18	0xFB31	#	HEBREW LETTER BET WITH DAGESH
0x1B19	0xFB32	#	HEBREW LETTER GIMEL WITH DAGESH
0x1B1A	0xFB33	#	HEBREW LETTER DALET WITH DAGESH
#0x1B1B	SINGLE SHIFT THREE (no mapping by itself, see also @missing above)
0x1B1B1A	0xFFFD	#	REPLACEMENT CHARACTER (duplicate of the ASCII 0x1C SUBSTITUTE; should have spacing 'error indication' glyph, NOT invisible)
0x1B1B20	0x202F	#	NARROW NO-BREAK SPACE
0x1B1B2D	0x2010	#	HYPHEN
0x1B1C	0xFB34	#	HEBREW LETTER HE WITH MAPIQ
0x1B1D	0xFB35	#	HEBREW LETTER VAV WITH DAGESH
0x1B1E	0xFB36	#	HEBREW LETTER ZAYIN WITH DAGESH
0x1B1F	0xFB38	#	HEBREW LETTER TET WITH DAGESH
0x1B20	0xFB39	#	HEBREW LETTER YOD WITH DAGESH
0x1B21	0xFB3A	#	HEBREW LETTER FINAL KAF WITH DAGESH
0x1B22	0xFB3B	#	HEBREW LETTER KAF WITH DAGESH
0x1B23	0xFB3C	#	HEBREW LETTER LAMED WITH DAGESH
0x1B24	0xFB3E	#	HEBREW LETTER MEM WITH DAGESH
0x1B25	0xFB40	#	HEBREW LETTER NUN WITH DAGESH
0x1B26	0xFB41	#	HEBREW LETTER SAMEKH WITH DAGESH
0x1B27	0xFB43	#	HEBREW LETTER FINAL PE WITH DAGESH
0x1B28	0x007B	#	LEFT CURLY BRACKET
0x1B29	0x007D	#	RIGHT CURLY BRACKET
0x1B2A	0xFB29	#	HEBREW LETTER ALTERNATIVE PLUS SIGN
0x1B2D	0x2A7D	#	LESS-THAN OR SLANTED EQUAL TO
0x1B2E	0x2A7E	#	GREATER-THAN OR SLANTED EQUAL TO
0x1B2F	0x005C	#	REVERSE SOLIDUS
0x1B30	0xFB44	#	HEBREW LETTER PE WITH DAGESH 05E4 05BC
0x1B31	0xFB46	#	HEBREW LETTER TSADI WITH DAGESH 05E6 05BC
0x1B32	0xFB47	#	HEBREW LETTER QOF WITH DAGESH 05E7 05BC
0x1B33	0xFB48	#	HEBREW LETTER RESH WITH DAGESH 05E8 05BC
0x1B34	0xFB49	#	HEBREW LETTER SHIN WITH DAGESH 05E9 05BC
0x1B35	0xFB4A	#	HEBREW LETTER TAV WITH DAGESH 05EA 05BC
0x1B36	0xFB4B	#	HEBREW LETTER VAV WITH HOLAM 05D5 05B9
0x1B37	0xFB4C	#	HEBREW LETTER BET WITH RAFE 05D1 05BF
0x1B38	0xFB4D	#	HEBREW LETTER KAF WITH RAFE 05DB 05BF
0x1B39	0xFB4E	#	HEBREW LETTER PE WITH RAFE 05E4 05BF
0x1B3A	0x2248	#	ALMOST EQUAL TO
0x1B3B	0x2260	#	NOT EQUAL TO
0x1B3C	0x005B	#	LEFT SQUARE BRACKET
0x1B3D	0x007E	#	TILDE
0x1B3E	0x005D	#	RIGHT SQUARE BRACKET
0x1B3F	0x00B7	#	MIDDLE DOT
0x1B40	0x007C	#	VERTICAL LINE
0x1B41	0x0041	#	LATIN CAPITAL LETTER A
0x1B42	0x0042	#	LATIN CAPITAL LETTER B
0x1B43	0x0043	#	LATIN CAPITAL LETTER C
0x1B44	0x0044	#	LATIN CAPITAL LETTER D
0x1B45	0x0045	#	LATIN CAPITAL LETTER E
0x1B46	0x0046	#	LATIN CAPITAL LETTER F
0x1B47	0x0047	#	LATIN CAPITAL LETTER G
0x1B48	0x0048	#	LATIN CAPITAL LETTER H
0x1B49	0x0049	#	LATIN CAPITAL LETTER I
0x1B4A	0x004A	#	LATIN CAPITAL LETTER J
0x1B4B	0x004B	#	LATIN CAPITAL LETTER K
0x1B4C	0x004C	#	LATIN CAPITAL LETTER L
0x1B4D	0x004D	#	LATIN CAPITAL LETTER M
0x1B4E	0x004E	#	LATIN CAPITAL LETTER N
0x1B4F	0x004F	#	LATIN CAPITAL LETTER O
0x1B50	0x0050	#	LATIN CAPITAL LETTER P
0x1B51	0x0051	#	LATIN CAPITAL LETTER Q
0x1B52	0x0052	#	LATIN CAPITAL LETTER R
0x1B53	0x0053	#	LATIN CAPITAL LETTER S
0x1B54	0x0054	#	LATIN CAPITAL LETTER T
0x1B55	0x0055	#	LATIN CAPITAL LETTER U
0x1B56	0x0056	#	LATIN CAPITAL LETTER V
0x1B57	0x0057	#	LATIN CAPITAL LETTER W
0x1B58	0x0058	#	LATIN CAPITAL LETTER X
0x1B59	0x0059	#	LATIN CAPITAL LETTER Y
0x1B5A	0x005A	#	LATIN CAPITAL LETTER Z
0x1B5D	0x05C3	#	HEBREW PUNCTUATION SOF PASUQ (full stop-like (looks like :)) [rare]
0x1B5E	0x05C0	#	HEBREW PUNCTUATION PASEQ (use is comma-like (looks like vertical bar and final nun)) [rare]
0x1B5F	0x05C6	#	HEBREW PUNCTUATION NUN HAFUKHA (looks like a reversed nun) [rare]
0x1B60	0x00BC	#	VULGAR FRACTION ONE QUARTER
0x1B61	0x00BD	#	VULGAR FRACTION ONE HALF
0x1B62	0x00BE	#	VULGAR FRACTION THREE QUARTERS
0x1B63	0x201C	#	LEFT DOUBLE QUOTATION MARK
0x1B64	0x201D	#	RIGHT DOUBLE QUOTATION MARK
