0x1B18	0x0161	#	LATIN SMALL LETTER S WITH CARON
0x1B19	0x017D	#	LATIN CAPITAL LETTER Z WITH CARON
0x1B1A	0x017E	#	LATIN SMALL LETTER Z WITH CARON
#0x1B1B	SINGLE SHIFT THREE (no mapping by itself, see also @missing above)
0x1B1B1A	0xFFFD	#	REPLACEMENT CHARACTER (duplicate of the ASCII 0x1C SUBSTITUTE; should have spacing 'error indication' glyph, NOT invisible)
0x1B1B20	0x202F	#	NARROW NO-BREAK SPACE
0x1B1B2D	0x2010	#	HYPHEN
0x1B1B34	0x20BA	#	TURKISH LIRA SIGN
0x1B1B48	0x0126	#	LATIN CAPITAL LETTER H WITH STROKE (Maltese)
0x1B1B4E	0x014A	#	LATIN CAPITAL LETTER ENG (Sami)
0x1B1B54	0x0166	#	LATIN CAPITAL LETTER T WITH STROKE (Sami)
0x1B1B68	0x0127	#	LATIN SMALL LETTER H WITH STROKE (Maltese)
0x1B1B6E	0x014B	#	LATIN SMALL LETTER ENG (Sami)
0x1B1B74	0x0167	#	LATIN SMALL LETTER T WITH STROKE (Sami)
0x1B1C	0x0102	#	LATIN CAPITAL LETTER A WITH BREVE
0x1B1D	0x0103	#	LATIN SMALL LETTER A WITH BREVE
0x1B1E	0x1E9E	#	LATIN CAPITAL LETTER SHARP S
0x1B1F	0x01A0	#	LATIN CAPITAL LETTER O WITH HORN
0x1B20	0x01A1	#	LATIN SMALL LETTER O WITH HORN
0x1B21	0x01AF	#	LATIN CAPITAL LETTER U WITH HORN
0x1B22	0x01B0	#	LATIN SMALL LETTER U WITH HORN
0x1B23	0x0306	#	COMBINING BREVE
0x1B24	0x0328	#	COMBINING OGONEK
0x1B25	0x0326	#	COMBINING COMMA BELOW
0x1B26	0x0327	#	COMBINING CEDILLA
0x1B27	0x0308	#	COMBINING DIAERESIS
0x1B28	0x007B	#	LEFT CURLY BRACKET
0x1B29	0x007D	#	RIGHT CURLY BRACKET
0x1B2A	0x030B	#	COMBINING DOUBLE ACUTE ACCENT
0x1B2B	0x00DD	#	LATIN CAPITAL LETTER Y WITH ACUTE
0x1B2C	0x00FD	#	LATIN SMALL LETTER Y WITH ACUTE
